Time,ai0,ai1,ai2,ai3,
0,1.066765e-01,-6.023302e-03,-6.060095e-03,-1.601896e-03,
1.000000e-01,1.066765e-01,-6.023302e-03,-6.060095e-03,6.030850e-03,
2.000000e-01,1.066765e-01,6.698218e-03,-6.060095e-03,-4.146144e-03,
3.000000e-01,1.295750e-01,6.698218e-03,-1.115149e-02,-6.690393e-03,
4.000000e-01,1.219422e-01,-6.023302e-03,-9.687014e-04,6.030850e-03,
5.000000e-01,1.422964e-01,6.698218e-03,-1.369719e-02,-6.690393e-03,
6.000000e-01,9.649941e-02,-3.478998e-03,-9.687014e-04,6.030850e-03,
7.000000e-01,1.168536e-01,-6.023302e-03,-8.605792e-03,6.030850e-03,
8.000000e-01,1.295750e-01,1.609610e-03,-1.115149e-02,9.423527e-04,
9.000000e-01,1.244865e-01,6.698218e-03,-6.060095e-03,-6.690393e-03,
1,1.219422e-01,-3.478998e-03,1.576996e-03,6.030850e-03,
1.100000e+00,1.346636e-01,6.698218e-03,-1.115149e-02,-6.690393e-03,
1.200000e+00,1.372079e-01,1.609610e-03,-6.060095e-03,9.423527e-04,
1.300000e+00,1.295750e-01,-9.346940e-04,-1.369719e-02,9.423527e-04,
1.400000e+00,1.346636e-01,4.153914e-03,-3.514398e-03,9.423527e-04,
1.500000e+00,1.346636e-01,6.698218e-03,-9.687014e-04,-6.690393e-03,
1.600000e+00,1.397522e-01,-9.346940e-04,-6.060095e-03,9.423527e-04,
1.700000e+00,1.295750e-01,6.698218e-03,-6.060095e-03,-6.690393e-03,
1.800000e+00,1.193979e-01,-6.023302e-03,-6.060095e-03,6.030850e-03,
1.900000e+00,1.295750e-01,-6.023302e-03,-6.060095e-03,8.575098e-03,
2,1.244865e-01,-6.023302e-03,-6.060095e-03,6.030850e-03,
2.100000e+00,1.295750e-01,-9.346940e-04,-6.060095e-03,9.423527e-04,
2.200000e+00,1.143094e-01,6.698218e-03,-8.605792e-03,-4.146144e-03,
2.300000e+00,9.904369e-02,1.609610e-03,-9.687014e-04,-1.601896e-03,
2.400000e+00,1.015880e-01,9.242522e-03,-8.605792e-03,-6.690393e-03,
2.500000e+00,1.092208e-01,-6.023302e-03,-6.060095e-03,6.030850e-03,
2.600000e+00,7.360089e-02,6.698218e-03,-9.687014e-04,-4.146144e-03,
2.700000e+00,8.632229e-02,6.698218e-03,-1.115149e-02,-4.146144e-03,
2.800000e+00,7.614517e-02,-6.023302e-03,-6.060095e-03,6.030850e-03,
2.900000e+00,5.833521e-02,-9.346940e-04,-9.687014e-04,9.423527e-04,
3,7.360089e-02,-9.346940e-04,-9.687014e-04,9.423527e-04,
3.100000e+00,8.123373e-02,-9.346940e-04,-6.060095e-03,9.423527e-04,
3.200000e+00,1.041322e-01,6.698218e-03,-1.115149e-02,-6.690393e-03,
3.300000e+00,1.117651e-01,6.698218e-03,-6.060095e-03,9.423527e-04,
3.400000e+00,1.321193e-01,-6.023302e-03,-9.687014e-04,9.423527e-04,
3.500000e+00,1.372079e-01,1.609610e-03,-9.687014e-04,9.423527e-04,
3.600000e+00,1.575621e-01,-6.023302e-03,-6.060095e-03,6.030850e-03,
3.700000e+00,1.702835e-01,-9.346940e-04,-1.115149e-02,-6.690393e-03,
3.800000e+00,1.830049e-01,-9.346940e-04,-1.115149e-02,9.423527e-04,
3.900000e+00,1.906378e-01,1.609610e-03,-1.115149e-02,9.423527e-04,
4,1.906378e-01,-9.346940e-04,-6.060095e-03,9.423527e-04,
4.100000e+00,1.728278e-01,4.153914e-03,-8.605792e-03,9.423527e-04,
4.200000e+00,1.626507e-01,-9.346940e-04,-8.605792e-03,9.423527e-04,
4.300000e+00,1.651950e-01,1.609610e-03,-1.369719e-02,9.423527e-04,
4.400000e+00,1.473850e-01,6.698218e-03,-6.060095e-03,-6.690393e-03,
4.500000e+00,1.397522e-01,-6.023302e-03,-9.687014e-04,6.030850e-03,
4.600000e+00,1.550178e-01,6.698218e-03,-1.369719e-02,9.423527e-04,
4.700000e+00,1.626507e-01,6.698218e-03,-6.060095e-03,-6.690393e-03,
4.800000e+00,1.575621e-01,4.153914e-03,-8.605792e-03,9.423527e-04,
4.900000e+00,1.677392e-01,6.698218e-03,-1.115149e-02,-6.690393e-03,
5,1.601064e-01,6.698218e-03,-9.687014e-04,9.423527e-04,
5.100000e+00,1.626507e-01,-9.346940e-04,1.576996e-03,-1.601896e-03,
5.200000e+00,1.702835e-01,-6.023302e-03,-1.369719e-02,6.030850e-03,
5.300000e+00,1.779164e-01,-9.346940e-04,-8.605792e-03,-1.601896e-03,
5.400000e+00,1.728278e-01,-9.346940e-04,-1.115149e-02,-1.601896e-03,
5.500000e+00,1.702835e-01,-6.023302e-03,-1.369719e-02,9.423527e-04,
5.600000e+00,1.499293e-01,4.153914e-03,-8.605792e-03,-6.690393e-03,
5.700000e+00,1.524736e-01,6.698218e-03,-6.060095e-03,9.423527e-04,
5.800000e+00,1.372079e-01,1.609610e-03,-9.687014e-04,9.423527e-04,
5.900000e+00,1.473850e-01,1.609610e-03,-1.369719e-02,9.423527e-04,
6,1.422964e-01,-9.346940e-04,-1.369719e-02,9.423527e-04,
6.100000e+00,1.321193e-01,1.609610e-03,-6.060095e-03,9.423527e-04,
6.200000e+00,1.346636e-01,1.609610e-03,-9.687014e-04,9.423527e-04,
6.300000e+00,1.346636e-01,6.698218e-03,-9.687014e-04,-6.690393e-03,
6.400000e+00,1.295750e-01,6.698218e-03,-6.060095e-03,-6.690393e-03,
6.500000e+00,1.295750e-01,-6.023302e-03,-6.060095e-03,6.030850e-03,
6.600000e+00,1.295750e-01,1.609610e-03,-8.605792e-03,9.423527e-04,
6.700000e+00,1.321193e-01,1.609610e-03,-6.060095e-03,9.423527e-04,
6.800000e+00,1.193979e-01,-9.346940e-04,-9.687014e-04,9.423527e-04,
6.900000e+00,1.295750e-01,-9.346940e-04,-6.060095e-03,9.423527e-04,
7,1.193979e-01,-6.023302e-03,-6.060095e-03,6.030850e-03,
7.100000e+00,1.321193e-01,1.609610e-03,-8.605792e-03,9.423527e-04,
